Num,Definition,Start,Finish
1,To apply the mind to the acquisition of learning,1300-01-01,2021-01-01
2,with complement,1711-01-01,1769-01-01
3,To follow  educational or professional studies at a university,1450-01-01,2021-01-01
4,To make a close study of a subject,1946-01-01,2021-01-01
5,To think intently,1340-01-01,2021-01-01
6,To be in doubt or perplexity,1362-01-01,1586-01-01
7,To debate with oneself,1300-01-01,1788-01-01
8,To ask oneself without answer,1480-01-01,1533-01-01
9,To search,1551-01-01,1748-01-01
10,To exercise oneself,1450-01-01,1474-01-01
11,To endeavour,1340-01-01,1823-01-01
12,To employ one's effort ,1656-01-01,1656-01-01
13,To be addicted to,1382-01-01,1603-01-01
14,To ponder over,1300-01-01,1474-01-01
15,To cause to muse,1654-01-01,1654-01-01
16,To apply one's mind to the acquiring of something,1445-01-01,2021-01-01
17,To be occupied with a specific branch of learning,1569-01-01,2021-01-01
18,To be educated,1662-01-01,2021-01-01
19,To read with close attention,1422-01-01,2021-01-01
20,To commit to memory and exercise oneself in the rendering ,1601-01-01,2021-01-01
21,To examine in detail,1600-01-01,2021-01-01
22,To scrutinize a visible object in order to ascertain its nature or to be familiar with or interpret its appearance,1662-01-01,2021-01-01
23,To aim at,1606-01-01,2021-01-01
24,To meditate ,1669-01-01,1669-01-01
25,To devise,1559-01-01,2021-01-01
26,To exercise thought and deliberation,1668-01-01,2021-01-01
27,To pay practical regard something,1758-01-01,2021-01-01
